,Centre,Addresse,Quartier,Lat,Lon,NOM
145,Parc Taywood,"139 Taywood Dr #127, Beaconsfield, Quebec",Beaconsfield,45.4426825,-73.8656623,Beaconsfield
146,Parc Christmas,"422 Beaconsfield Blvd, Beaconsfield, Quebec H9W 4B7",Beaconsfield,45.4227046,-73.8765524,Beaconsfield
147,St. Louis Park,"444 Chem. Lakeshore, Beaconsfield, QC H9W 4H9",Beaconsfield,45.4212479,-73.8806265,Beaconsfield
148,Kovak Parc,"Av. Kellert, Côte Saint-Luc, QC H4W 3A5",Côte-Saint-Luc,45.4734516,-73.6683888,Côte-Saint-Luc
149,Parc Pierre Elliot Trudeau,"6975 Chem. Mackle, Côte Saint-Luc, QC H4W 2X9",Côte-Saint-Luc,45.4742929,-73.670602,Côte-Saint-Luc
150,Parc Mitchell  Brownstein,"Emerson, Côte Saint-Luc, QC",Côte-Saint-Luc,45.473524,-73.6664287,Côte-Saint-Luc
151,Parc Irving Singerman ,"Chem. Régal, Côte Saint-Luc, QC H4V 2P8",Côte-Saint-Luc,45.470296,-73.6608675,Côte-Saint-Luc
152,Parc Rembrandt,"Av. Rembrandt, Côte Saint-Luc, QC",Côte-Saint-Luc,45.4765781,-73.6678627,Côte-Saint-Luc
153,Nathan Shuster Park,"6552 Chem. Collins, Côte Saint-Luc, QC H4W 3B7",Côte-Saint-Luc,45.4765781,-73.6678627,Côte-Saint-Luc
154,Parc du Centenaire,"3000 Rue Lake, Dollard-des-Ormeaux, QC H9B 2M1",Dollard-des-Ormeaux,45.4849581,-73.8381362,Dollard-des-Ormeaux
155,Parc Edward Janiszewski,"264 Rue Ernest, Dollard-des-Ormeaux, QC H9A 3G6",Dollard-des-Ormeaux,45.4849634,-73.839991,Dollard-des-Ormeaux
156,Parc Lake Road,"85 Rue Hemingway, Dollard-des-Ormeaux, QC H9G 2J2",Dollard-des-Ormeaux,45.4849634,-73.839991,Dollard-des-Ormeaux
157,Parc Westminster,"Rue Westminster, Dollard-des-Ormeaux, QC",Dollard-des-Ormeaux,45.4760538,-73.8431597,Dollard-des-Ormeaux
158,Parc Alouette,"Rue Durham, Dollard-des-Ormeaux, QC",Dollard-des-Ormeaux,45.4760538,-73.8431597,Dollard-des-Ormeaux
159,Glenn Francis McHugh Park,"12100 Bd de Salaberry, Dollard-des-Ormeaux, QC H9B 3H9",Dollard-des-Ormeaux,45.4832207,-73.8088084,Dollard-des-Ormeaux
160,Westwood Park,"Dollard-Des Ormeaux, QC H9B 1X7",Dollard-des-Ormeaux,45.4878002,-73.7991979,Dollard-des-Ormeaux
161,Parc Medley ,"Rue Medley, Dollard-des-Ormeaux, QC H9G 3A1",Dollard-des-Ormeaux,45.4785181,-73.8304139,Dollard-des-Ormeaux
162,Parc Frontenac,"457 Rue Frontenac, Dollard-des-Ormeaux, QC H9G 3B2",Dollard-des-Ormeaux,45.4785181,-73.8304139,Dollard-des-Ormeaux
163,Parc Oslo,"Rue Oslo, Dollard-des-Ormeaux, QC",Dollard-des-Ormeaux,45.4996102,-73.8217788,Dollard-des-Ormeaux
164,Parc Pinecrest,"Rue Pinecrest, Dollard-des-Ormeaux, QC",Dollard-des-Ormeaux,45.4996102,-73.8217788,Dollard-des-Ormeaux
165,Parc Frédérick T. Wilson,"Rue Radisson, Dollard-des-Ormeaux, QC H9A 2R3",Dollard-des-Ormeaux,45.4904102,-73.8332895,Dollard-des-Ormeaux
