,Centre,Addresse,Quartier,Lat,Lon,NOM
586,Patinoire du parc Pehr-Kalm,"Rue Marcel-Raymond, Montréal",Rivière-des-Prairies–Pointe-aux-Trembles,45.6627746,-73.5545276,Rivière-des-Prairies-Pointe-aux-Trembles
587,Patinoire du parc Petit,"1600, rue Poirier, Montréal",Saint-Laurent,45.5201621,-73.6960403,Saint-Laurent
588,Patinoire du parc Pierre-Bédard,"5515, rue Lacordaire, Montréal",Mercier–Hochelaga-Maisonneuve,45.5777983,-73.5570532,Mercier-Hochelaga-Maisonneuve
589,Patinoire du parc Pierre-Bernard,"3170, boulevard Pierre-Bernard, Montréal",Mercier–Hochelaga-Maisonneuve,45.6060073,-73.5246295,Mercier-Hochelaga-Maisonneuve
590,Patinoire du parc Poirier,"900, rue Trudeau, Montréal",Saint-Laurent,45.5140984,-73.6632797,Saint-Laurent
591,Patinoire du parc Pratt,"1801, avenue Lajoie, Montréal",Outremont,45.5136505,-73.6171757,Outremont
592,Patinoire du parc Robert-Sauvé,"15742, rue de la Caserne, Montréal",L'Île-Bizard–Sainte-Geneviève,45.48149962894737,-73.86660485,L'Île-Bizard-Sainte-Geneviève
593,Patinoire du parc Roger-Rousseau,"7501, avenue Rondeau, Montréal",Anjou,45.6159526,-73.550939,Anjou
594,Patinoire du parc Rosemont,"5625, rue D'Iberville, Montréal",Rosemont–La Petite-Patrie,45.5443941,-73.5810989,Rosemont-La Petite-Patrie
595,Patinoire du parc Rougemont,"1900, rue Bossuet, Montréal",Mercier–Hochelaga-Maisonneuve,45.5700062,-73.5285286,Mercier-Hochelaga-Maisonneuve
596,Patinoire du parc Saint-Aloysius,"1651, rue Nicolet, Montréal",Mercier–Hochelaga-Maisonneuve,45.5457342,-73.541273,Mercier-Hochelaga-Maisonneuve
597,Patinoire du parc Saint-Paul,"Rue Brisset, Montréal",Le Sud-Ouest,45.4617553,-73.585589,Le Sud-Ouest
598,Patinoire du parc Saint-Simon-Apôtre,"200, rue Legendre Ouest, Montréal",Ahuntsic-Cartierville,45.5408011,-73.6494022,Ahuntsic-Cartierville
599,Patinoire du parc Saint-Viateur,"530, avenue Querbes, Montréal",Outremont,45.52100166,-73.60600112,Outremont
600,Patinoire du parc Saint-Victor,"9175, rue Hochelaga, Montréal",Mercier–Hochelaga-Maisonneuve,45.6071275,-73.5169242,Mercier-Hochelaga-Maisonneuve
601,Patinoire du parc Sainte-Bernadette,"6825, 16e Avenue, Montréal",Rosemont–La Petite-Patrie,45.5602763,-73.5885682,Rosemont-La Petite-Patrie
602,Patinoire du parc Théodore,"2523, rue Théodore, Montréal",Mercier–Hochelaga-Maisonneuve,45.5579438,-73.536863,Mercier-Hochelaga-Maisonneuve
603,Patinoire du parc Thomas-Chapais,"5798, boulevard Pierre Bernard, Montréal",Mercier–Hochelaga-Maisonneuve,45.6066477,-73.5264755,Mercier-Hochelaga-Maisonneuve
604,Patinoire du parc Toussaint-Louverture,"127, boulevard De Maisonneuve Est, Montréal",Ville-Marie,45.5160877,-73.5603048,Ville-Marie
605,Patinoire du parc Trenholme,"6800, rue Sherbrooke Ouest, Montréal",Côte-des-Neiges–Notre-Dame-de-Grâce,45.4615438,-73.6328837,Côte-des-Neiges-Notre-Dame-de-Grâce
606,Patinoire du parc Walter-Stewart,"2455, rue Larivière, Montréal",Ville-Marie,45.5232599,-73.5630054,Ville-Marie
607,Patinoire du parc William-Bowie,"4955, avenue Trenholme, Montréal",Côte-des-Neiges–Notre-Dame-de-Grâce,45.4580869,-73.6504371,Côte-des-Neiges-Notre-Dame-de-Grâce
608,Patinoire du parc Yves-Thériault,"Avenue Yves-Thériault, Montréal",Rivière-des-Prairies–Pointe-aux-Trembles,45.6788368,-73.4995112,Rivière-des-Prairies-Pointe-aux-Trembles
609,Patinoire Espace Faubourg Québec,"12, rue de la Porte-de-Québec, Montréal",Ville-Marie,,,
610,Patinoire et anneau de glace du parc de Talcy,"8151, avenue de Talcy, Montréal",Anjou,45.6090245,-73.558751,Anjou
611,Patinoire et anneau de glace du parc Lucie-Bruneau,"7051, avenue de l'Alsace, Montréal",Anjou,45.6036608,-73.5825274,Anjou
612,Patinoire et sentier glacé du parc des Roseraies,"7070, avenue de la Nantaise, Montréal",Anjou,45.5933175,-73.5560569,Anjou
613,Patinoire extérieure au parc-école Laurier-MacDonald,"Rue Terbois, Montréal",Saint-Léonard,45.5757349,-73.5858508,Saint-Léonard
614,Patinoire extérieure de l'aréna Mont-Royal,"4365, rue Cartier, Montréal",Le Plateau-Mont-Royal,45.533331700000005,-73.57175522810255,Le Plateau-Mont-Royal
615,Patinoire extérieure du complexe sportif Saint-Léonard,"5300, boulevard Lacordaire, Montréal",Saint-Léonard,45.5834084,-73.5915222,Saint-Léonard
616,Patinoire extérieure du parc Delorme,"6060, rue de Honfleur, Montréal",Saint-Léonard,45.5935518,-73.5894974,Saint-Léonard
617,Patinoire extérieure du parc Ermanno-La Riccia,"Rue J.-B.-Martineau, Montréal",Saint-Léonard,45.5943752,-73.6194738,Saint-Léonard
618,Patinoire extérieure du parc Ferland,"6020, boulevard Lavoisier, Montréal",Saint-Léonard,45.5957301,-73.6000641,Saint-Léonard
619,Patinoire extérieure du parc Giuseppe-Garibaldi,"7125, rue Liénart, Montréal",Saint-Léonard,45.5863259,-73.5699367,Saint-Léonard
620,Patinoire extérieure du parc Ladauversière,"7560, boulevard Lacordaire, Montréal",Saint-Léonard,45.5818598,-73.584296,Saint-Léonard
621,Patinoire extérieure du parc Luigi-Pirandello,"4550, rue de Compiègne, Montréal",Saint-Léonard,45.5789687,-73.6044855,Saint-Léonard
