Nom,totalScore,Latitude,Longitude,Rue,postalCode,reviewsCount
Olive Garden Italian Restaurant,4.1,47.7108904,-122.1895077,"11325 NE 124th St, Kirkland, WA 98034",98034,2728
Aladdin Falafel Corner,4.4,47.6624768,-122.3132785,"4541 University Way NE, Seattle, WA 98105",98105,504
Petra Mediterranean Bistro,4.4,47.6166669,-122.3465717,"2501 4th Ave, Seattle, WA 98121",98121,1137
OMEGA OUZERI,4.6,47.6149521,-122.3143814,"1529 14th Ave, Seattle, WA 98122",98122,461
Sultan Gyro and Shawarma Grill,4.5,47.756188,-122.346293,"17505 Aurora Ave N, Shoreline, WA 98133",98133,469
Gyro House,4.3,47.6411254,-122.3203476,"2355 10th Ave E #2355, Seattle, WA 98102",98102,221
Mediterranean Grill,4.4,47.6287,-122.135027,"15253 Bel-Red Rd, Bellevue, WA 98007",98007,641
Time Out | Greek & American Restaurant,4.7,47.7777809,-122.3115987,"5807 244th St SW, Mountlake Terrace, WA 98043",98043,732
Garlic Crush,4.1,47.6740241,-122.1260953,"16095 Cleveland St #100, Redmond, WA 98052",98052,867
Aria Food & Bakery,4.3,47.706237,-122.1767284,"12033 124th Ave NE, Kirkland, WA 98034",98034,296
Fork Mediterranean Grill,4.6,47.8000477,-122.3211883,"21919 66th Ave W STE G, Mountlake Terrace, WA 98043",98043,493
Harissa Mediterranean Cuisine,4.3,47.6756586,-122.3034798,"2255 NE 65th St, Seattle, WA 98115",98115,251
Georgia's Greek Restaurant Food Truck Market & Deli,4.4,47.6872538,-122.3129305,"8007 Lake City Way NE, Seattle, WA 98115",98115,212
Kirkland rumi restaurant (Persian cuisine ),4.1,47.7057097,-122.1769862,"11729 124th Ave NE, Kirkland, WA 98034",98034,323
Gyro Boss,4.8,47.7542576,-122.2794741,"17171 Bothell Way NE Unit #708-043, Lake Forest Park, WA 98155",98155,159
Gyro Express,4.6,47.7547787,-122.155085,"13804 NE 175th St, Woodinville, WA 98072",98072,785
Gyros 2 Go,4.4,47.6712619,-122.1150772,"16855 Redmond Way, Redmond, WA 98052",98052,590
The Greek Kitchen,4.5,47.7657939,-122.3647809,"608 NW Richmond Beach Rd, Shoreline, WA 98177",98177,271
