Nom,Rue,postalCode,Latitude,Longitude,reviewsCount,totalScore
JURA - Montréal,10118 Boul. Saint-Laurent,H3L 2N7,45.5475399,-73.6621284,91,4.7
Café Paninoteca,5250 Ferrier St #100,H4P 1L4,45.4981108,-73.6566662,16,4.4
Café Vesuvio,7238 Rue Hutchison,H3N 2X9,45.5298157,-73.6236319,20,4.2
Bar Café Loutraki,950 Rue Jarry O,H3N 1H2,45.5285347,-73.6371954,11,4.3
Berendo Gourmet Café Inc.,9880 Rue Clark,H3L 2R3,45.5458032,-73.6602609,6,3.7
Servicafe,625 Bd Décarie,H4L 3L2,45.5098276,-73.6753846,0,
Cafétéria Collège de Bois-de-Boulogne,,H4N 1L3,45.5363858,-73.6740697,0,
Cafe 18-30 D'Ahuntsic,1362 Rue Sauvé E,H2C 2A2,45.5588356,-73.6513256,0,
Café Dépôt,"Uqam, 225 Av. du Président-Kennedy",H2X 3Y8,45.509007,-73.568517,25,3.9
Barley - Bar à Céréales,2613 Notre-Dame St W,H3J 1N9,45.4825,-73.5761111,853,4
Universel Déjeuners et Grillades,2055 Rue Peel,H3A 1T5,45.5014889,-73.575625,2559,4.2
La Boulangerie Moderne - Café Dejeuner - Pizza Sandwiches Salads - Boite a Lunch Traiteur,1447 Rue Stanley,H3A 1N4,45.499944,-73.574501,30,4.3
Bar Gerts,3480 Rue McTavish,H3A 1X9,45.5036082,-73.5781314,75,4.4
Café Des Touristes,1001 Rue du Square Dorchester,H3B 1N1,45.5001458,-73.5720264,0,
Mangia,"Le 2000 Peel, 1101 Boul. de Maisonneuve Ouest",H3A 3K1,45.5008879,-73.5750829,59,4.1
Green Traiteur et Café,"Les Cours Mont-Royal, 1455 Peel St #227",H3A 1T5,45.5007175,-73.5732282,17,3.5
Second Cup Coffee,1648 Avenue du Mont-Royal E,H2J 1Z5,45.5321905,-73.5749963,313,3.7
Transit Café,4090 Rue Bélanger Suite E,H1X 1C1,45.5645861,-73.5874056,8,3.5
Café Melbourne,4615 Boul. Saint-Laurent,H2T 1R2,45.5211284,-73.5880797,375,4.3
Café Dei Campi,6201 Rue Chabot,H2G 2T3,45.5428618,-73.5923341,587,4.8
Céramic Café Studio Montréal,4338 R. Saint-Denis,H2J 2K8,45.5226123,-73.5804882,1275,4.4
Café Chat l'heureux,172 Av. Duluth E,H2W 1H3,45.5186402,-73.5776851,2734,4.5
MyWay Café Lounge,2340 Rue Jean-Talon E,H2E 1V7,45.5520629,-73.6031913,77,3.6
Columbus Café & Co,1200 Avenue du Mont-Royal E,H2J 1Y2,45.5287523,-73.5782997,281,3.8
Café Saint-Henri (Square Victoria),690 Rue du Square-Victoria suite 716,H3C 1E8,45.5013151,-73.5603975,10,4.8
Café Tuyo,370 Rue Marie-Anne Est,H2W 1B3,45.5226284,-73.5807335,400,4.6
Café Dépot,125 Boulevard René-Lévesque O Local 276,H2X 3X5,45.5074529,-73.5634177,384,4
Café Centre (Le),1290 Rue De La Gauchetière O,H3B 2S2,45.4976288,-73.5686498,8,3.8
Second Cup Café,895 Rue De La Gauchetière O,H3B 4G1,45.4994915,-73.5665959,133,3.9
Café District,717 Rue William,H3C 1N9,45.4984059,-73.5582925,45,4.5
Les Cafe V.P. Inc,910 Rue Peel,H3C 2H8,45.4969585,-73.5675645,1,4
LE VRAC DU MARCHÉ - Epicerie - Café / Thé - Noix / Epicé,Av. Atwater,H4C 2G3,45.479179,-73.5762888,15,4.3
Presse Café (BNP),1981 Av. McGill College,H3A 2W8,45.5034005,-73.5725873,4,3.3
Café Et Compagnies,"Niveau Metro Level, 2001 Blvd Robert-Bourassa",H3A 2A6,45.5045218,-73.5718577,7,4.4
Café Dépôt,2074 Rue Aylmer,H3A 2E3,45.505792,-73.572139,12,3
MELK Bar à café Stanley,1206 Rue Stanley,H3B 2S7,45.498491,-73.5720341,733,4.6
Café Et Bagels,"625 Avenue du Président-Kennedy, Montréal, QC H3A 1K2 Av. du Président-Kennedy",H3A 1K2,45.5046817,-73.5724886,16,4.3
Columbus Café & Co Atwater,2153 Sainte-Catherine O,H3H 1M6,45.4909421,-73.5828899,79,4.4
Café Imagination,1335 Boulevard René-Lévesque O,H3G 1T3,45.4964829,-73.5729147,0,
Café Vasco da Gama,1472 Rue Peel,H3A 1S8,45.5006345,-73.5745293,768,4.4
