Nom,Rue,postalCode,Latitude,Longitude,reviewsCount,totalScore
P23 Dumplings-Outremont,1346 Av. Van Horne,H2V 1K8,45.5207131,-73.6143469,117,4.5
Buffet Chinois Restaurant Jade,67 Rue De La Gauchetière O,H2Z 1B9,45.5074702,-73.5605652,2876,3.1
Sep Lai,2601 Rue Centre,H3K 1K2,45.4784533,-73.569599,118,4.4
Umi Sushi,38 Pl. du Commerce,H3E 1T8,45.4675885,-73.5415991,167,3.9
Soba Restaurant,5227 Rue Sherbrooke O,H4A 1T7,45.475,-73.6083332,555,4.3
Aka-Fuji Restaurant,3872 Rue Wellington,H4G 1V2,45.4652542,-73.5666539,231,4.5
Urumqi Ozgu 🥟 Uyghur 🍜 Restaurant,1617 Av Dollard,H8N 1T7,45.4283025,-73.6294909,129,4.5
Les Street Monkeys,3625 Rue Wellington,H4G 1T9,45.4676819,-73.5666978,1098,4.6
Marché Inter-Asia,4335 Rue Wellington,H4G 1W3,45.460471,-73.5673521,316,4.2
Zenbu Sushi,5751 Boul Gouin O,H4J 1E2,45.5326321,-73.7192707,309,4.4
Takumi Sushi,405A R. Sherbrooke E,H2L 1J9,45.517186,-73.5675984,1555,4.1
Buffet Chinois Mandarin,7373 Boul Langelier,H1S 1V7,45.5921027,-73.5712055,978,2.8
Itamea sushi,1898 Rue Beaubien E,H2G 1L9,45.5441246,-73.5954869,412,4.1
Sushi Bonsa,4818 R. Saint-Denis,H2J 2L6,45.5253299,-73.5862438,200,4.6
Tora Sushi,150 Rue Beaubien E,H2S 1R2,45.5314328,-73.6070468,150,4.2
Sake Grillades,5125 Boul. Saint-Laurent,H2T 1R9,45.5233892,-73.5932305,182,4.4
Manchu WOK,"Le Galeries D'Ajou, 7999 Boulevard des Galeries d'Anjou #F004",H1M 1W9,45.600662,-73.564402,56,3.1
Sushi shop,1751 Rue Fleury E,H2C 1T3,45.567282,-73.654104,215,4.1
Tiki-Ming,"7275 rue Sherbrooke Est, 123 Place Versailles",H1N 1E9,45.592141,-73.541016,160,4.3
Freres Restaurant,3892 Rue Ontario E,H1W 1S6,45.5481859,-73.5424591,346,3.7
DonDonYa,1433A R. Bishop,H3G 2E4,45.4971832,-73.5772503,382,4.7
Bistro CÔ ÚT - Montréal,3807 Rue Saint-André,H2L 3V9,45.5218748,-73.5702607,386,4.7
Restaurant Mon Nan,43 Rue de la Gauchetière E,H2X 1P4,45.5085792,-73.5597671,1314,4.2
