Nom,totalScore,Latitude,Longitude,Rue,postalCode,reviewsCount
La Maison Des Pâtes Fraîches,4.3,45.533918,-73.573915,1887 Mont-Royal Ave E,H2H 2N9,119
La Pizzaiolle (Ville Mont-Royal),4.4,45.5162972,-73.6434944,1275 Chem. de Dunkirk,H3R 3L3,1295
Restaurant Pizzarella,4.3,45.6425737,-73.5552433,9580 Boul Henri-Bourassa E,H1E 2S4,193
Trattoria Il Ritrovo,4.6,45.5789106,-73.6449491,2895 Rue Fleury E,H2B 1M1,259
Heirloom Vin & Pizza,4.5,45.5493972,-73.5420583,3991 Ontario St E,H1W 1T1,1149
Gallo Nero Restaurant Trattoria,4.5,45.5815971,-73.5933888,5138 Rue Jarry E,H1R 1Y4,252
Pizzeria Gusto,4.5,45.5817978,-73.593202,5152 Rue Jarry E,H1R 1Y4,317
Tomate Basilic Pointe aux Trembles,4.4,45.6509867,-73.5120378,12585 Sherbrooke St E,H1B 1C8,1221
Restaurant Per Te,4.7,45.5431391,-73.6327092,371 Rue Guizot E,H2P 2G9,111
Luciano Trattoria,4.8,45.5403247,-73.6038394,1212 Rue Saint-Zotique E,H2S 1N5,375
La Bella Italiana,4.6,45.5857283,-73.579659,5884 Rue Jean-Talon E,H1S 1M2,903
Restaurant Il Pazzesco,4.4,45.6006383,-73.5770093,7031 Rue Jarry E,H1J 1G3,431
Restaurant San Marzano,4.5,45.6381607,-73.5795338,11935 Av. Rita-Levi-Montalcini,H1E 5K7,162
Enoteca Monza Pizzeria Moderna,4.5,45.572415,-73.5487984,5660 Sherbrooke St E,H1N 1A1,504
Restaurant Panuozzo,4.6,45.5155718,-73.5766009,3820 St Laurent Blvd,H2W 1X6,226
Cuisine Pronto MTL,4.5,45.534926,-73.5728731,2025 Mont-Royal Ave E,H2H 1J7,220
Lafayette Pizzeria,4.1,45.5258484,-73.6031747,112 Rue Bernard O,H2T 2K1,335
Resto Mini Moushi,,45.5202266,-73.5742095,3917 Saint Denis St,H2W 2M3,0
La casina,4.3,45.5209241,-73.5998767,5314 Park Ave,H2V 4G7,204
Restaurant Di Menna,4.2,45.5934833,-73.5831939,6313 Rue Jarry E,H1P 1W1,540
Bacaro Pizzeria - Lachine,4,45.4357185,-73.6876638,2825 Victoria St,H8S 1Z3,463
Almira Pizza,,45.4396899,-73.7353614,642 Chem. du Bord-du-Lac-Lakeshore,H9S 2B6,0
Trattoria Bellamore,4.6,45.5212251,-73.7942306,270 Blvd. Samson,H7X 2Y9,302
Ristorante Donato,4.6,45.4795183,-73.6032448,4825 Sherbrooke St W,H3Z 1G6,101
Andrea Ristorante Lachine,3.7,45.4339641,-73.691874,3194 Bd Saint-Joseph,H8S 2P4,322
Cuisine Locale Cafe,4.9,45.4675868,-73.611723,5795 Upper Lachine Rd,H4A 2B1,178
Mardin Palace,4.4,45.558509,-73.7440183,3010 Boulevard Saint-Martin O,H7T 2J2,850
Adar Supermarket,4.3,45.4609985,-73.6668486,5634 Av. Westminster,H4W 2J3,217
Tim Hortons,3.7,45.471171,-73.6477572,6500 Côte Saint Luc Rd,H4V 1G2,322
Solaris Resto-Bar,4.3,45.4869865,-73.6354687,5487 Decarie Blvd,H3W 3C6,275
Pizza Kazza,4.7,45.5937365,-73.3353666,509 Av. Jules-Choquet,J3E 1W6,288
McDonald's,3.3,45.4662435,-73.653643,7003 Côte Saint Luc Rd,H4V 1J2,1265
Manzo Pizzeria,4.4,45.4274165,-73.6391901,1033 90e Avenue,H8R 3A4,707
Chicago Pizza,3.8,45.453015,-73.646031,54 Westminster Ave N,H4X 1Z2,154
Côte St Luc BBQ,4.3,45.4972597,-73.8114329,4360-E Sources Blvd,H8Y 3B7,602
Jérusalem Express,3.7,45.4754376,-73.6659217,5800 Cavendish Blvd,H4W 2T5,49
Restaurant Lou Nissart,4.6,45.5358776,-73.5088795,260 Rue Saint-Jean,J4H 2X5,325
Restaurant O'Sharkcoal,4.4,45.341489,-73.2713648,87 Bd Saint-Luc,J2W 1E2,138
Pizza Welat,4.1,45.4678213,-73.6386758,6509 Somerled Ave,H4V 1S7,362
Fay Wong,3.8,45.465732,-73.6533975,7020 Côte Saint Luc Rd,H4V 1J3,227
Pendeli's,4.2,45.5103224,-73.6741287,1401 College St,H4L 2L5,309
Subway,3.7,45.4654945,-73.6552386,7155 Côte Saint Luc Rd,H4V 1S2,116
Mariposa,4.6,45.4789985,-73.6239793,5434 Côte Saint Luc Rd,H3X 2C5,98
Côte St Luc BBQ,4.2,45.479516,-73.624371,5403 Côte Saint Luc Rd,H3X 2C3,458
LeyLeyMtl @ Elna,4.3,45.4909543,-73.6506195,6900 Bd Décarie m240,H3X 2T8,47
Subway,3.7,45.4757768,-73.6659717,5800 Boul Cavendish E-02,H4W 2T5,23
Sushi Sama,4.2,45.4704176,-73.6491338,6606 Côte Saint Luc Rd,H4V 1G8,39
Toto Pizzeria,5,45.4918778,-73.5653558,1380 Notre-Dame St W,H8S 2C8,2
Restaurant St-Jean Pizzeria,4.3,45.2936715,-73.2561445,10 Rue Jacques-Cartier S,J3B 6S4,1125
Double 8 Sushi,4.2,45.4653833,-73.6552063,7155 Côte Saint Luc Rd,H4V 1J2,77
DELI BOYZ - Kosher,4.2,45.475526,-73.6658463,5800 Cavendish Blvd,H4W 2T5,74
L'in-time,4.6,45.4581912,-73.5675501,4619 Wellington St,H4G 1X1,264
Calzone pizza,4.5,45.4595987,-73.864506,3713 Saint-Charles Blvd,H9H 4M2,369
Coronet Pizza,4.6,45.5196677,-73.697455,1671 Rue Poirier,H4L 1J2,208
Tanoura Restaurant,4.2,45.4800119,-73.8425552,4230 Boul. Saint-Jean,H9H 3X4,145
Restaurant La Piazza,4.5,45.5129511,-73.7121246,2525 Rue des Nations,H4R 3C8,189
Delish - Breakfast & Lunch,4.3,45.4834079,-73.7905757,3237 Sources Blvd,H9B 1Z6,180
