Nom,totalScore,Latitude,Longitude,Rue,postalCode,reviewsCount
Chez Lin Chinese Food Restaurant,4.4,45.5084774,-73.559592,26 Rue de la Gauchetière E,H2X 1P3,34
Chez Lien,4.3,45.5845674,-73.5417824,6780 Sherbrooke St E,H1N 1E1,571
Restaurant coréen Luna/Korean Restaurant Luna- Apportez votre vin/ Bring your own wine,4.7,45.5246069,-73.575802,"CA, 917 Rue Rachel E",H2J 2J2,602
Restaurant La Petite Dînette,4.3,45.5215845,-73.5780521,4186 Saint Denis St,H2W 2M5,144
Sushi 111,4.4,45.5370613,-73.5703942,2260 Mont-Royal Ave E,H2H 1K6,239
Thai Express Restaurant Montréal,3.2,45.510102,-73.575315,"Galerie du Parc, 3550 Park Ave",H2X 3P9,206
Ken sushi,4.4,45.5354695,-73.5723733,2113 Mont-Royal Ave E,H2H 1J9,98
Au 14,4.4,45.5135693,-73.5726786,14 Prince Arthur St W,H2X 1S3,191
Sushi Beaumont-Sushi BMT,4,45.5212302,-73.6236864,1248 Beaumont Ave,,1384
RAKU,4.2,45.5183284,-73.5812513,12 Rue Rachel E,H2W 1C5,168
Copper Branch,4.1,45.5294325,-73.5780517,1251 Mont-Royal Ave E,H2J 1Y4,596
Ohana Sushi Vegan,4.8,45.5232756,-73.5833892,330 Mont-Royal Ave E,H2T 1P7,471
Aiko Sushi,3.7,45.5324459,-73.5748258,1680 Mont-Royal Ave E,H2J 1Z5,232
Bistro CÔ ÚT - Montréal,4.7,45.5218748,-73.5702607,3807 St Andre St,H2L 3V9,386
Restaurant Pho 911,4.4,45.5367358,-73.5711354,2229 Mont-Royal Ave E,H2H 1K5,310
Szechuan et Nouilles,3.5,45.5235686,-73.6057951,355 Rue Bernard O,H2V 1T6,126
Yoshi Sushi,4.3,45.5352416,-73.5823415,1601 Laurier Ave E,H2J 1J1,107
Haruko Sushi,4,45.5367109,-73.5711478,2223 Mont-Royal Ave E,H2H 1K5,35
Mai Xiang Dumpling Mont-Royal,5,45.5273145,-73.580093,961 Mont-Royal Ave E,H2J 1X4,4
Jelissa,,45.518112,-73.569495,3609 Saint Denis St,H2X 3L6,0
WOW SUSHI,4.6,45.5184988,-73.5810698,50 Rachel St E,H2W 1C6,16
Soupe & Roll,3.9,45.5721452,-73.5368129,5865 Rue Hochelaga,H1N 1X2,171
Sama fusion,4.3,45.5575701,-73.6596512,945 Rue Fleury E,H2C 1P5,286
Chopstix Restaurant,3.6,45.5534063,-73.6694844,325 Boul Henri-Bourassa E,H3L 1C2,108
Zone d'Asie,4.1,45.5503327,-73.604593,2106 Rue Jean-Talon E,H2E 1V3,299
Sésame,4,45.5067299,-73.5668181,305 Saint-Catherine St W,H2X 2A3,1216
Restaurant Mon Nan,4.2,45.5085792,-73.5597671,43 Rue de la Gauchetière E,H2X 1P4,1316
Freres Restaurant,3.7,45.5481859,-73.5424591,3892 Ontario St E,H1W 1S6,348
Restaurant Phuket,4.3,45.5773927,-73.5980496,4673 Rue Jarry E,H1R 1X6,648
Oriental Fusion,3.8,45.4946291,-73.6518564,"Sous-Sol, 7373 Bd Décarie",H4P 2G8,109
Saint Sushi Plateau,4.6,45.5211176,-73.5753568,424 Duluth Ave E,H2L 1A3,945
Maneki Comptoir Asiat',4,45.5420356,-73.5546207,3121 Rue Hochelaga,H1W 1G3,447
Sésame,4.2,45.5019364,-73.559413,380 Rue Saint-Jacques,H2Y 1S1,654
Montreal Asian Food,,45.5441309,-73.5955522,1898 Rue Beaubien E,H2G 1L9,0
Restaurant Phoenix Oriental,4.2,45.6230432,-73.602393,7230 Bd Maurice-Duplessis,H1E 4A7,273
Takumi Sushi,4.1,45.517186,-73.5675984,405A Sherbrooke St E,H2L 1J9,1574
Restaurant Pho Mont Royal,4,45.5311406,-73.5764545,1459 Mont-Royal Ave E,H2J 1Y9,410
Royal Sushi,3.6,45.5237185,-73.5832918,367 Mont-Royal Ave E,H2T 1R1,380
Hoya,4.6,45.5229207,-73.5836775,300 Mont-Royal Ave E,H2T 1P7,404
Yum Yum Soupe Dumpling,4.7,45.5200224,-73.5738012,3887 Saint Denis St,H2W 2M4,411
Harbin Dumpling,4.5,45.5216,-73.5893745,4801 St Laurent Blvd,H2T 1R6,1033
Wok Du Chef,,45.5292534,-73.5783918,1241 Mont-Royal Ave E,H2J 1Y2,0
Krapow,4.8,45.5285396,-73.5788929,1139a Mont-Royal Ave E,H2J 1X9,248
Le Caractère Chinois,4.4,45.5302264,-73.5665652,1870 Rue Gauthier,H2K 1A3,75
La Cuisine d'Iva,5,45.5342762,-73.5735854,4507 Rue Chabot,H2H 1Y1,2
Mei Le Café Chinois,4.4,45.5246803,-73.5960054,5309 St Laurent Blvd,H2T 1A5,282
Dumplings Imagine,4.2,45.5183457,-73.5812288,16 Rue Rachel E,H2W 1C5,241
Asahi,4.7,45.5146164,-73.5737908,3671 St Laurent Blvd,H2X 2V5,6
Ichi Sushi,4.4,45.5187183,-73.587453,102 Mont-Royal Ave W,H2T 2T1,424
Pamika,4.5,45.5221605,-73.5911233,4902 St Laurent Blvd,H2T 1R5,1514
Kasa Sushi,4.1,45.5362968,-73.5711617,2190 Mont-Royal Ave E,H2H 1K3,188
LinJu Asiatique Express,4.8,45.5375428,-73.5700458,2300 Mont-Royal Ave E,H2H 1K8,32
BIBIKO,4.4,45.5263542,-73.5987689,31 St Viateur St. E,H2T 1A5,218
Thai Express Restaurant Montréal,2.5,45.524025,-73.582669,4497 Saint Denis St,H2J 2L2,186
Restaurant Thaïlande,4.3,45.5262556,-73.6029853,88 Rue Bernard O,H2T 2J8,647
Thai Express Restaurant Mont-Royal,3.1,45.528196,-73.648123,"Centre Rockland, 2305 Rockland Rd",H3P 3E9,35
Hinata Wok & Sushi TMR,4.5,45.5171441,-73.6443999,1383 Chem. Canora,H3P 2J6,84
Négasaké,4,45.5145399,-73.57178,70 Rue Prince-Arthur E,H2X 1B3,286
Soleil de Saigon,4.7,45.5291095,-73.578354,1227 Mont-Royal Ave E,H2J 1Y2,119
31 Latitude,4.7,45.5142587,-73.573092,3627 St Laurent Blvd,H2X 2V5,85
HÀ Mont-Royal,4.3,45.51775,-73.5888222,243 Mont-Royal Ave W,H2T 2T2,639
Tô Comptoir Asiatique,4.9,45.5105327,-73.5726065,212 Rue Milton,H2X 1V6,53
Thai Express Restaurant Montréal,3.5,45.516562,-73.560079,833 Boul. de Maisonneuve E,H2L 1Y7,177
Restaurant Sho-dan,4.4,45.5017117,-73.5746173,2020 Metcalfe St,H3A 1X8,578
Maison Thaï,3.6,45.5304947,-73.5771915,1351 Mont-Royal Ave E,H2J 1Y8,344
Wing Phat,4.4,45.5729146,-73.6017423,4201 Rue Jarry E,H1R 1W9,1901
Chez Tomio,4.4,45.5361224,-73.5812491,5161 Av. Papineau,H2H 1W1,205
Cuisine AuntDai,4.5,45.4943194,-73.5803435,1448 St Mathieu St,H3H 2H9,725
Mayhem Saveurs Asiatiques - Bar à sangria + Traiteur + Événement privé -,4.7,45.5236775,-73.5818662,"H2j2l2, 4433 Saint Denis St",H2J 2L2,143
Restaurant Rizière,4.8,45.520141,-73.5862005,4495 St Laurent Blvd,H2W 1Z8,364
Ichigo Ichie Izakaya,4.6,45.521307,-73.57846,360 Rue Rachel E,H2W 1E9,1368
Thai Express Restaurant Montréal,2.7,45.519945,-73.586697,11 Mont-Royal Ave W,H2T 2R9,93
Soy,4.1,45.5241503,-73.5956063,5258 St Laurent Blvd,H2T 1S1,276
Restaurant Itamea,4,45.539729,-73.599901,1283 Rue Beaubien E,H2S 1V1,288
Beni Hana Cuisine Japonaise,4.4,45.5725,-73.5486999,5666 Sherbrooke St E,H1N 1A1,1365
Restaurant Dragon Magnifique,4.4,45.5804811,-73.581014,5444 Rue Jean-Talon E,H1S 1L6,386
Nouilles Etc,4.1,45.5831872,-73.5424461,6666 Sherbrooke St E,,730
Le Mēkong,4.5,45.5268438,-73.5804779,921 Mont-Royal Ave E,H2J 1X3,306
Panda Thai,3.8,45.5259771,-73.581489,783 Mont-Royal Ave E,H2J 1W8,193
ChuChai,4.6,45.5208866,-73.5767429,4088 Saint Denis St,H2W 2M5,942
Tampopo,4.1,45.526886,-73.579531,4449 Mentana St,H2J 3B4,573
Satay Brothers Resto 3721 Notre-Dame,4.5,45.4793169,-73.5818739,3721 Notre-Dame St W,H4C 1P8,2286
Le Red Tiger - Pub Vietnamien,4.3,45.5192046,-73.557834,1201 Boul. de Maisonneuve E,H2X 2A1,987
Restaurant Kim Jian,3.9,45.5592404,-73.5976793,3270 Rue Jean-Talon E,H2A 1W3,69
Chez O,4.3,45.575574,-73.5478947,5849 Sherbrooke St E,H1M 2N2,281
Café Asia,3.6,45.5332279,-73.5741484,1828 Mont-Royal Ave E,H2H 1J1,224
